Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd IAT Mean,Bwd IAT Mean,SYN Flag Count,Label
1005977,3,3,0,6,17.89305322,5.964351074,502733.5,502625,0,BENIGN
4714705,5,1,27,46,38.39052496,1.272614087,1178676.25,0,1,BENIGN
67,2,1,15.5,6,552238.806,44776.1194,3,0,1,BENIGN
22,1,1,0,0,0,90909.09091,0,0,0,BENIGN
57,3,1,14.33333333,6,859649.1228,70175.4386,2,0,0,BENIGN
3990011,5,1,24.6,46,42.35577295,1.503755253,997502.75,0,1,BENIGN
282,3,0,10.33333333,0,109929.078,10638.29787,141,0,0,BENIGN
53,1,1,0,0,0,37735.84906,0,0,0,BENIGN
62465310,4,5,26,38.6,4.754639015,0.14407997,19700000,15600000,1,BENIGN
48318,1,1,55,105,3311.395339,41.39244174,0,0,0,BENIGN
5817547,2,2,43.5,193.5,81.47763997,0.687575021,5769441,5743479,0,BENIGN
47034,2,2,34,190,9525.02445,85.04486116,3,49,0,BENIGN
2015383,3,0,6,0,8.931304869,1.488550811,1007691.5,0,0,BENIGN
11079207,12,17,410.4166667,704.8235294,1526.011744,2.617515857,122046,690431.625,0,BENIGN
5561328,3,4,30.66666667,30.75,38.65983089,1.258692168,2762818.5,1842220.333,1,BENIGN
22001,2,2,32,88,10908.59506,181.8099177,48,1,0,BENIGN
124225,1,1,6,6,96.59891326,16.09981888,0,0,0,BENIGN
124786,1,1,6,6,96.16463385,16.02743898,0,0,0,BENIGN
48053,1,1,63,155,4536.657441,41.62071047,0,0,0,BENIGN
145843,1,1,63,125,1289.057411,13.71337671,0,0,0,BENIGN
5050936,6,3,101.8333333,55.33333333,153.8328737,1.781847958,1010187.2,48033.5,0,BENIGN
244,1,2,0,0,0,12295.08197,0,49,0,BENIGN
75,1,1,0,0,0,26666.66667,0,0,0,BENIGN
73,3,1,10.33333333,6,506849.3151,54794.52055,2,0,0,BENIGN
312,2,0,0,0,0,6410.25641,312,0,0,BENIGN
385,2,2,37,311,1807792.208,10389.61039,3,3,0,BENIGN
83858,1,1,42,234,3291.278113,23.8498414,0,0,0,BENIGN
80191,1,1,50,66,1446.546371,24.94045466,0,0,0,BENIGN
50184,1,1,54,108,3228.120516,39.85333971,0,0,0,BENIGN
31114523,13,17,279.9230769,472.4705882,375.0981495,0.964179975,1764230,1942406.313,0,BENIGN
48503,4,2,36,52,5113.085789,123.7036884,8800.666667,4,0,BENIGN
10108928,7,9,201.8571429,696.5555556,759.9223182,1.582759319,18069,1260059.75,0,BENIGN
4,2,0,62,0,31000000,500000,4,0,0,BENIGN
3,2,0,0,0,0,666666.6667,3,0,0,BENIGN
4,2,0,18.5,0,9250000,500000,4,0,1,BENIGN
48938,1,1,52,113,3371.613061,40.86803711,0,0,0,BENIGN
47230,1,1,81,163,5166.207919,42.34596655,0,0,0,BENIGN
364,2,2,37,311,1912087.912,10989.01099,48,48,0,BENIGN
47856,2,2,39,133,7188.231361,83.58408559,49,48,0,BENIGN
213,2,2,36,100,1276995.305,18779.34272,48,48,0,BENIGN
102324,3,5,144.3333333,455.8,26504.04597,78.18302646,34302,17440,0,BENIGN
60087781,18,20,65.88888889,1191.35,416.2743171,0.63240811,2958672.118,3161275.421,0,BENIGN
47472,1,1,51,67,2485.675767,42.13009774,0,0,0,BENIGN
47596,1,1,46,110,3277.586352,42.02033784,0,0,0,BENIGN
76267,4,2,47,175,7054.164973,78.67098483,17513,4,0,BENIGN
6144517,9,6,42.66666667,519.6666667,569.9390204,2.44120083,768064.625,117021.6,0,BENIGN
49,2,0,62,0,2530612.245,40816.32653,49,0,0,BENIGN
175648,10,7,55.7,644.7142857,28864.54728,96.78447805,19516.44444,18482.83333,0,BENIGN
23894,2,2,35,51,7198.459864,167.4060434,3,3,0,BENIGN
85571,6,7,298,481.1428571,60254.05803,151.9206273,11352.2,10239.16667,0,BENIGN
1823,2,0,6,0,6582.556226,1097.092704,1823,0,0,BENIGN
62,2,0,6,0,193548.3871,32258.06452,62,0,0,BENIGN
23692,2,2,34,117,12746.91879,168.8333615,3,3,0,BENIGN
306,2,2,42,170,1385620.915,13071.89542,4,4,0,BENIGN
60504,4,2,45,73,5388.073516,99.16699722,8880,3,0,BENIGN
5058328,9,6,42.22222222,812.5,1038.880832,2.965406751,632291,19856,0,BENIGN
39,1,1,6,6,307692.3077,51282.05128,0,0,0,BENIGN
51185,1,1,0,0,0,39.07394745,0,0,0,BENIGN
16406958,8,8,152.375,148.375,146.6451002,0.975196011,1485954.714,2327226.143,0,BENIGN
59533,1,1,52,116,2821.964289,33.59481296,0,0,0,BENIGN
276,2,2,31,132,1181159.42,14492.75362,4,3,0,BENIGN
153,1,1,6,6,78431.37255,13071.89542,0,0,0,BENIGN
259,4,1,30.25,6,490347.4903,19305.01931,86.33333333,0,1,BENIGN
20729286,18,21,74.66666667,1140.285714,1220.013077,1.881396204,1219369.765,1005949.4,0,BENIGN
23850,1,1,46,110,6540.880503,83.85744235,0,0,0,BENIGN
103337397,17,19,178.0588235,648.4736842,148.5231915,0.348373397,6458587.313,5581956.222,0,BENIGN
51586483,3,2,19.33333333,26,2.132341528,0.096924615,25800000,1481,1,BENIGN
220,2,2,43,203,2236363.636,18181.81818,4,3,0,BENIGN
55596875,17,21,142.9411765,143.1428571,97.77527964,0.683491653,3474804.688,1816695.9,1,BENIGN
171,2,2,44,94,1614035.088,23391.81287,3,1,0,BENIGN
178,2,2,36,52,988764.0449,22471.91011,49,3,0,BENIGN
170,2,2,39,55,1105882.353,23529.41176,1,3,0,BENIGN
4,2,0,15.5,0,7750000,500000,4,0,1,BENIGN
319,2,2,45,103,927899.6865,12539.18495,1,74,0,BENIGN
204,2,2,45,61,1039215.686,19607.84314,3,4,0,BENIGN
46879,1,1,49,146,4159.645044,42.66302609,0,0,0,BENIGN
589700,8,6,43.375,832.1666667,9055.451925,23.7408852,84242.85714,27500.8,0,BENIGN
47245,4,2,31,123,7831.516563,126.9975659,11450,49,0,BENIGN
237,2,2,42,155,1662447.257,16877.63713,4,66,0,BENIGN
153,2,2,53,69,1594771.242,26143.79085,3,3,0,BENIGN
139,2,0,6,0,86330.93525,14388.48921,139,0,0,BENIGN
116040663,23,19,150,282,75.90442671,0.361942089,5274575.591,6253396.222,0,BENIGN
33878,2,1,6,6,531.3182596,88.55304327,1,0,0,BENIGN
133674,2,2,34,106,2094.648174,29.92354534,49,3,0,BENIGN
548,1,1,46,98,262773.7226,3649.635036,0,0,0,BENIGN
49006,1,1,41,57,1999.755132,40.81132922,0,0,0,BENIGN
51,1,1,0,0,0,39215.68627,0,0,0,BENIGN
74,1,1,6,6,162162.1622,27027.02703,0,0,0,BENIGN
23736,1,1,56,72,5392.652511,84.26019548,0,0,0,BENIGN
3,2,0,0,0,0,666666.6667,3,0,0,BENIGN
169,2,2,33,61,1112426.036,23668.63905,4,4,0,BENIGN
997,2,2,1472,289,3532597.793,4012.036108,5,2,0,BENIGN
196,2,2,47,98,1479591.837,20408.16327,3,4,0,BENIGN
237,2,0,6,0,50632.91139,8438.818565,237,0,0,BENIGN
1,2,0,62,0,124000000,2000000,1,0,0,BENIGN
191,2,2,31,95,1319371.728,20942.40838,3,49,0,BENIGN
226,2,2,34,172,1823008.85,17699.11504,4,48,0,BENIGN
246,2,2,32,102,1089430.894,16260.1626,4,9,0,BENIGN
304,3,0,10.33333333,0,101973.6842,9868.421053,152,0,0,BENIGN
228,2,2,38,88,1105263.158,17543.85965,1,48,0,BENIGN
339,2,2,32,98,766961.6519,11799.41003,1,1,0,BENIGN
215069,13,7,90.46153846,642.2857143,26372.93148,92.99341142,17922.41667,27443.5,0,BENIGN
33863400,13,8,64.15384615,606.125,167.8213056,0.620138557,2821950,16334,0,BENIGN
211,1,1,0,0,0,9478.672986,0,0,0,BENIGN
49,2,0,15.5,0,632653.0612,40816.32653,49,0,1,BENIGN
167272,2,2,35,208,2905.447415,23.91314745,1,3,0,BENIGN
1669847,4,5,110.75,174.4,787.4972977,5.389715345,548675.3333,411662.25,0,BENIGN
5309842,9,7,42.33333333,874.4285714,1224.518545,3.013272335,663730.25,18587.83333,0,BENIGN
196,2,2,44,72,1183673.469,20408.16327,3,48,0,BENIGN
688,2,2,39,55,273255.814,5813.953488,3,4,0,BENIGN
222,2,2,34,194,2054054.054,18018.01802,3,48,0,BENIGN
115930807,20,18,64.7,320.1111111,60.86389099,0.327781726,6101621.421,6489264,0,BENIGN
986,1,1,53,112,167342.7992,2028.397566,0,0,0,BENIGN
48434,1,1,41,143,3798.984185,41.29330636,0,0,0,BENIGN
214,2,0,6,0,56074.76636,9345.794393,214,0,0,BENIGN
998738,2,0,6,0,12.01516314,2.002527189,998738,0,0,BENIGN
48,1,1,6,6,250000,41666.66667,0,0,0,BENIGN
43,1,1,6,6,279069.7674,46511.62791,0,0,0,BENIGN
217,2,2,32,102,1235023.041,18433.17972,49,49,0,BENIGN
446598,3,4,221.3333333,105.25,2429.477965,15.67405138,110142.5,75608.33333,0,BENIGN
240,2,0,0,0,0,8333.333333,240,0,0,BENIGN
273,4,0,16,0,234432.2344,14652.01465,91,0,0,BENIGN
63154757,7,2,26.71428571,46,4.417719476,0.14250708,10500000,58800000,1,BENIGN
85733,1,1,51,112,1901.25156,23.32824,0,0,0,BENIGN
118043689,34,44,60.11764706,1061.409091,412.9488024,0.660772301,3577081.485,2740238.349,0,BENIGN
48953,2,2,31,47,3186.730129,81.71102895,4,4,0,BENIGN
10765374,13,15,83.84615385,768.1333333,1171.533845,2.600931468,897114.5,767542.2857,0,BENIGN
4,2,0,6,0,3000000,500000,4,0,0,BENIGN
133088,2,2,42,159,3020.557826,30.05530176,1,11,0,BENIGN
124,1,1,6,6,96774.19355,16129.03226,0,0,0,BENIGN
198,2,2,32,48,808080.8081,20202.0202,48,48,0,BENIGN
196,2,2,33,49,836734.6939,20408.16327,47,48,0,BENIGN
189,2,2,33,82,1216931.217,21164.02116,1,0,0,BENIGN
230242,2,2,32,76,938.1433448,17.3730249,48,3,0,BENIGN
232,2,2,39,55,810344.8276,17241.37931,49,49,0,BENIGN
432336,3,5,172.6666667,454,6448.688057,18.50412642,107608.5,54309.75,0,BENIGN
429150,3,4,193.6666667,229.25,3490.620995,16.31131306,107008,71757,0,BENIGN
180,2,2,32,48,888888.8889,22222.22222,3,3,0,BENIGN
8452090,4,0,6,0,2.839534364,0.473255727,2817363.333,0,0,DoS
6438204,5,0,6,0,4.659684595,0.776614099,1609551,0,0,DoS
1658555,3,6,8.666666667,1934.5,7013.936831,5.426410339,463.5,331701.4,0,DoS
6996959,4,0,6,0,3.430061545,0.571676924,2332319.667,0,0,DoS
906939,3,5,8.666666667,2321.4,12826.66199,8.820879905,1002,226719.75,0,DoS
6066574,4,0,6,0,3.956104384,0.659350731,2022191.333,0,0,DoS
6110,3,6,8.666666667,1933.5,1902945.99,1472.99509,2796.5,1204.8,0,DoS
5010694,4,0,6,0,4.789755671,0.798292612,1670231.333,0,0,DoS
4997053,4,0,6,0,4.802830788,0.800471798,1665684.333,0,0,DoS
4037927,5,0,6,0,7.429554819,1.238259136,1009481.75,0,0,DoS
4036939,4,0,6,0,5.945098502,0.99084975,1345646.333,0,0,DoS
844770,3,4,8.666666667,2901.75,13770.61212,8.286279106,1219,281586,0,DoS
895225,3,6,8.666666667,1934.5,12994.49859,10.05333855,472,179038,0,DoS
2073910,5,0,6,0,14.46543003,2.410905006,518477.5,0,0,DoS
2017972,5,0,6,0,14.86641044,2.477735073,504493,0,0,DoS
876794,3,4,8.666666667,2900.25,13260.81155,7.983631275,2851,292242.6667,0,DoS
1138961,4,0,6,0,21.07183652,3.511972754,379653.6667,0,0,DoS
85700,4,0,6,0,280.0466744,46.67444574,28566.66667,0,0,DoS
994335,3,4,8.666666667,2900.25,11693.24222,7.039880925,2291,331429.6667,0,DoS
30713,4,0,6,0,781.4280598,130.23801,10237.66667,0,0,DoS
70206,3,6,8.666666667,1934.5,165698.0885,128.1941714,625.5,14031.8,0,DoS
12039688,5,0,6,0,2.491758923,0.415293154,3009922,0,0,DoS
12008696,4,0,6,0,1.998551716,0.333091953,4002898.667,0,0,DoS
11335601,5,0,6,0,2.646529284,0.441088214,2833900.25,0,0,DoS
697617,3,4,8.666666667,2900.25,16666.73834,10.03415914,3447,232522.6667,0,DoS
10052764,4,0,6,0,2.387403106,0.397900518,3350921.333,0,0,DoS
386530,3,4,8.666666667,2900.25,30080.45947,18.10984917,12886.5,128837.6667,0,DoS
8900773,4,0,6,0,2.696395021,0.44939917,2966924.333,0,0,DoS
7934320,4,0,6,0,3.024833886,0.504138981,2644773.333,0,0,DoS
964521,3,4,8.666666667,2900.25,12054.68829,7.257488432,3737,321447.3333,0,DoS
984062,3,6,8.666666667,1933.5,11815.31245,9.145765206,1760.5,196808.6,0,DoS
7838149,4,0,6,0,3.061947406,0.510324568,2612716.333,0,0,DoS
3106733,4,0,6,0,7.725156941,1.287526157,1035577.667,0,0,DoS
2858719,5,0,6,0,10.49421087,1.749035145,714679.75,0,0,DoS
1156532,4,0,6,0,20.75169559,3.458615931,385510.6667,0,0,DoS
1111691,5,0,6,0,26.98591605,4.497652675,277922.75,0,0,DoS
1054392,4,0,6,0,22.76193294,3.793655491,351464,0,0,DoS
61898,3,5,8.666666667,2321.4,187938.2209,129.2448867,715.5,15459,0,DoS
1034605,4,0,6,0,23.19725886,3.86620981,344868.3333,0,0,DoS
13111,3,4,8.666666667,2900.25,886812.6001,533.9028297,5730,4322,0,DoS
822364,3,6,8.666666667,1934.5,14145.80405,10.94405884,411.5,164472.4,0,DoS
7617841,4,0,6,0,3.150498941,0.525083157,2539280.333,0,0,DoS
6619545,4,0,6,0,3.625626837,0.604271139,2206515,0,0,DoS
6593942,4,0,6,0,3.639704444,0.606617407,2197980.667,0,0,DoS
117551,3,6,8.666666667,1934.5,98961.3019,76.56251329,443,23479.4,0,DoS
835656,2,5,10,2321.4,13913.61996,8.376652594,843,208900.75,0,DoS
4812703,4,0,6,0,4.986802635,0.831133772,1604234.333,0,0,DoS
4744949,4,0,6,0,5.058010107,0.843001685,1581649.667,0,0,DoS
4699090,5,0,6,0,6.384214816,1.064035803,1174772.5,0,0,DoS
4618574,4,0,6,0,5.196409108,0.866068185,1539524.667,0,0,DoS
74320,3,4,8.666666667,2900.25,156445.1023,94.18729817,8981.5,24746,0,DoS
825477,3,5,8.666666667,2321.4,14092.45806,9.691366325,417.5,206365,0,DoS
68223,3,6,8.666666667,1933.5,170426.3958,131.9203201,6012.5,13643,0,DoS
1564048,4,0,6,0,15.3447976,2.557466267,521349.3333,0,0,DoS
30836,3,6,8.666666667,1934.5,377253.8591,291.8666494,360,6165.8,0,DoS
29429,3,6,8.666666667,1934.5,395290.3598,305.820789,353.5,5883,0,DoS
571883,5,0,6,0,52.45828255,8.743047092,142970.75,0,0,DoS
676385,3,5,8.666666667,2320.2,17189.91403,11.8275834,4527,169042.75,0,DoS
81363729,4,0,6,0,0.294971731,0.049161955,27100000,0,0,DoS
947162,3,7,8.666666667,1657.285714,12275.61917,10.557856,4818,157836.1667,0,DoS
10073762,4,0,6,0,2.382426744,0.397071124,3357920.667,0,0,DoS
402158,3,6,8.666666667,1934.5,28926.44185,22.37926387,430.5,80422,0,DoS
8793763,5,0,6,0,3.411508816,0.568584803,2198440.75,0,0,DoS
78095249,8,4,7,2901.75,149.3432718,0.153658515,11000000,302591,0,DoS
74131724,8,6,7,1933.5,157.2471187,0.188853021,10600000,59432,0,DoS
72394342,8,5,7,2321.4,161.1037503,0.179572044,10300000,68774,0,DoS
951989,3,5,8.666666667,2320.2,12213.37642,8.403458443,4489,237948,0,DoS
72105189,8,5,7,2321.4,161.7498014,0.180292156,10200000,184895.25,0,DoS
996258,3,5,8.666666667,2321.4,11676.69419,8.030048441,323,249053.25,0,DoS
207157,3,6,8.666666667,1934.5,56155.47628,43.4453096,327,41421.4,0,DoS
71345365,8,4,7,2900.25,163.3883294,0.16819593,10200000,101283.6667,0,DoS
71252366,8,4,7,2900.25,163.6015848,0.16841546,10100000,100129,0,DoS
71399466,8,6,7,1933.5,163.2645264,0.196079898,10200000,59203.2,0,DoS
130101,3,5,8.666666667,2321.4,89415.14669,61.490688,1295,32500,0,DoS
71323320,8,5,7,2321.4,163.5229543,0.182268576,10100000,94327,0,DoS
13975,3,5,8.666666667,2320.2,831985.6887,572.450805,5800.5,3473.25,0,DoS
839479,3,7,8.666666667,1658.142857,13857.40441,11.91215027,1428.5,139903.6667,0,DoS
838634,3,4,8.666666667,2901.75,13871.36701,8.346906994,1066.5,279533,0,DoS
71868192,8,6,7,1934.5,162.2831976,0.19480106,10100000,271214.6,0,DoS
870372,3,5,8.666666667,2321.4,13365.54944,9.191472152,237.5,217592.75,0,DoS
127734,3,7,8.666666667,1658.142857,91072.07165,78.28769161,310.5,21277.5,0,DoS
917482,3,6,8.666666667,1934.5,12679.26782,9.809456752,345.5,183485,0,DoS
29654,3,6,8.666666667,1933.5,392088.757,303.5003709,7228,5916.2,0,DoS
28671,3,4,8.666666667,2900.25,405531.7219,244.1491402,6771,9525,0,DoS
857527,3,6,8.666666667,1934.5,13565.75361,10.49529636,1322.5,171443.4,0,DoS
71953346,9,4,6.888888889,2900.25,162.0911417,0.180672626,8824678.375,454502.3333,0,DoS
71996613,9,6,6.888888889,1934.5,162.0770688,0.208343134,8821747,284653,0,DoS
72169038,8,6,7,1934.5,161.606699,0.193989007,10100000,326252.8,0,DoS
918139,3,5,8.666666667,2321.4,12670.19482,8.713277619,281.5,229523.5,0,DoS
564662,3,6,8.666666667,1934.5,20601.70509,15.93873857,249.5,112923.4,0,DoS
71445594,8,6,7,1934.5,163.2430966,0.195953301,10200000,36589.6,0,DoS
927134,3,5,8.666666667,2321.4,12547.26933,8.628741908,305.5,231756.25,0,DoS
540315,3,6,8.666666667,1934.5,21530.03341,16.65695011,297.5,108051,0,DoS
72304396,8,6,7,1934.5,161.3041619,0.193625848,10200000,179642.4,0,DoS
72296510,8,5,7,2321.4,161.3217567,0.179815042,10200000,224549.5,0,DoS
868716,3,5,8.666666667,2321.4,13391.02768,9.208993503,271.5,217166.25,0,DoS
24532,3,4,8.666666667,2900.25,473952.3887,285.3415947,12001.5,8171.333333,0,DoS
72455465,8,6,7,1934.5,160.9678442,0.19322214,10300000,36039.4,0,DoS
73212757,8,6,7,1933.5,159.2208855,0.191223505,10300000,159529.8,0,DoS
98955,3,5,8.666666667,2320.2,117497.8526,80.84482846,6833,24725,0,DoS
973225,3,5,8.666666667,2321.4,11953.04272,8.22009299,665.5,243296.5,0,DoS
43855,3,6,8.666666667,1934.5,265260.5176,205.2217535,279,8767.6,0,DoS
855292,3,6,8.666666667,1934.5,13601.20286,10.52272206,207.5,171047.8,0,DoS
855943,3,4,8.666666667,2901.75,13590.85827,8.178114664,316,285299.6667,0,DoS
896573,3,6,8.666666667,1934.5,12974.96132,10.03822332,249.5,179312,0,DoS
372163,2,4,10,2900.25,31225.56514,16.12196806,10778,124041.3333,0,DoS
73369212,8,5,7,2321.4,158.9631357,0.177186038,10400000,134227.75,0,DoS
1214185,3,5,8.666666667,2321.4,9580.912299,6.588781775,378,303534,0,DoS
1201645,3,5,8.666666667,2321.4,9680.895772,6.657540289,277,300399.5,0,DoS
977869,3,6,8.666666667,1934.5,11896.2765,9.203686792,207,195570.8,0,DoS
1446578,3,6,8.666666667,1934.5,8041.73712,6.221579479,261.5,289312.8,0,DoS
72802714,8,5,7,2321.4,160.2000717,0.178564772,10300000,135541,0,DoS
908162,3,5,8.666666667,2321.4,12809.38863,8.809001037,272.5,227027.75,0,DoS
952714,3,4,8.666666667,2900.25,12204.08223,7.347430604,4635.5,317513,0,DoS
696500,3,5,8.666666667,2321.4,16702.08184,11.48600144,305.5,174119.5,0,DoS
666166,3,4,8.666666667,2901.75,17462.61442,10.50789143,289.5,222014,0,DoS
180927,4,2,34,123,2111.348776,33.16254622,10233.66667,3,0,BENIGN
41462,4,4,42,117,15339.34687,192.9477594,13765,5698.333333,0,BENIGN
236,2,2,39,122,1364406.78,16949.15254,4,48,0,BENIGN
115934374,16,15,32.1875,130.4,21.31378223,0.267392654,7728958.267,7891658.643,0,BENIGN
10503015,8,12,355.25,904.5,1304.006516,1.904215123,72095,951843.7273,0,BENIGN
421920,2,0,6,0,28.44141069,4.740235116,421920,0,0,BENIGN
59436,1,1,54,110,2759.270476,33.64963995,0,0,0,BENIGN
129592,5,3,2321.4,8.666666667,89766.3436,61.73220569,32398,240,0,BENIGN
3,2,0,6,0,4000000,666666.6667,3,0,0,BENIGN
6954203,4,0,6,0,3.451150333,0.575191722,2318067.667,0,0,DoS
1217334,3,4,8.666666667,2901.75,9556.128392,5.750270673,361,405762,0,DoS
711159,3,5,8.666666667,2320.2,16349.36772,11.24924243,2240.5,177766,0,DoS
5314834,4,0,6,0,4.515663142,0.752610524,1771611.333,0,0,DoS
708608,3,5,8.666666667,2321.4,16416.69301,11.28973988,1031.5,177147,0,DoS
4906880,4,0,6,0,4.891091692,0.815181949,1635626.667,0,0,DoS
4905931,5,0,6,0,6.115047276,1.019174546,1226482.75,0,0,DoS
380157,3,5,8.666666667,2320.2,30584.7321,21.04393711,7416.5,95017,0,DoS
3900879,4,0,6,0,6.152459484,1.025409914,1300293,0,0,DoS
3331979,4,0,6,0,7.202926549,1.200487758,1110659.667,0,0,DoS
568836,3,4,8.666666667,2901.75,20450.53407,12.30583156,351.5,189560,0,DoS
2906928,4,0,6,0,8.256138439,1.376023073,968976,0,0,DoS
2906957,4,0,6,0,8.256056075,1.376009346,968985.6667,0,0,DoS
346296,3,5,8.666666667,2320.2,33575.32285,23.10162404,11013.5,86562.75,0,DoS
2039979,5,0,6,0,14.70603374,2.451005623,509994.75,0,0,DoS
1947680,4,0,6,0,12.32235275,2.053725458,649226.6667,0,0,DoS
1945351,4,0,6,0,12.33710523,2.056184205,648450.3333,0,0,DoS
1329148,4,0,6,0,18.05667992,3.009446653,443049.3333,0,0,DoS
1254969,4,0,6,0,19.12397836,3.187329727,418323,0,0,DoS
37424,3,6,8.666666667,1933.5,310682.9842,240.4873878,9410,7473.2,0,DoS
1219647,3,4,8.666666667,2901.75,9538.005669,5.739365571,357,406533.6667,0,DoS
891360,3,6,8.666666667,1934.5,13050.84365,10.09693053,666,178261.2,0,DoS
656576,3,5,8.666666667,2320.2,17708.53641,12.18442343,18296.5,164141.75,0,DoS
12213785,5,0,6,0,2.456241042,0.409373507,3053446.25,0,0,DoS
682717,3,4,8.666666667,2900.25,17030.48262,10.25315028,4126.5,227563.3333,0,DoS
676875,3,5,8.666666667,2321.4,17186.33426,11.81902124,585,169207.75,0,DoS
676339,3,5,8.666666667,2321.4,17199.95446,11.82838784,379.5,169065.5,0,DoS
675348,3,6,8.666666667,1934.5,17225.19353,13.3264628,363,135057.8,0,DoS
40313,3,6,8.666666667,1934.5,288566.9635,223.2530449,1011,8053.8,0,DoS
39317,3,5,8.666666667,2321.4,295877.1015,203.4743241,374.5,9817.5,0,DoS
38667,3,4,8.666666667,2901.75,300850.8547,181.0329221,339.5,12874.33333,0,DoS
12106680,4,0,6,0,1.982376671,0.330396112,4035560,0,0,DoS
31595,3,6,8.666666667,1933.5,368001.266,284.8551986,15021,6317.4,0,DoS
10941215,5,0,6,0,2.741925828,0.456987638,2735303.75,0,0,DoS
10211774,6,0,6,0,3.525342414,0.587557069,2042354.8,0,0,DoS
10165656,4,0,6,0,2.360890433,0.393481739,3388552,0,0,DoS
43002,3,4,8.666666667,2900.25,270382.7729,162.7831264,21025,14308,0,DoS
1210045,3,4,8.666666667,2900.25,9608.733559,5.784908826,9833,403294,0,DoS
1209218,3,5,8.666666667,2320.2,9615.305098,6.615845943,9356.5,302243.25,0,DoS
8156822,5,0,6,0,3.677902987,0.612983831,2039205.5,0,0,DoS
704891,3,5,8.666666667,2321.4,16503.26079,11.34927244,1412.5,176202.25,0,DoS
1568475,3,5,8.666666667,2321.4,7416.758316,5.100495704,354.5,392113.75,0,DoS
722125,3,5,8.666666667,2320.2,16101.09053,11.0784144,8984.5,180506.5,0,DoS
6149842,5,0,6,0,4.878174106,0.813029018,1537460.5,0,0,DoS
6153848,4,0,6,0,3.89999883,0.649999805,2051282.667,0,0,DoS
37430,3,5,8.666666667,2320.2,310633.1819,213.7323003,15015.5,9338,0,DoS
8958,3,5,8.666666667,2320.2,1297945.97,893.0564858,3491.5,2197.75,0,DoS
709393,3,6,8.666666667,1934.5,16398.52663,12.68690275,498,141869,0,DoS
44688,3,6,8.666666667,1933.5,260181.7043,201.396348,2663.5,8935.4,0,DoS
723017,3,5,8.666666667,2320.2,16081.22631,11.06474675,5659,180717,0,DoS
2059002,5,0,6,0,14.57016555,2.428360924,514750.5,0,0,DoS
21132,3,5,8.666666667,2320.2,550208.215,378.5727806,4508.5,5225,0,DoS
870023,5,0,6,0,34.48184703,5.746974505,217505.75,0,0,DoS
